År,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,Model 13,Model 14,Model 15,Model 16,Model 17,Model 18,Model 19,Model 20,Model 21,Model 22,Model 23,Model 24,Model 25,Model 26,Model 27,Model 28,Model 29,Model 30,Model 31,Model 32,Model 33,Model 34,Model 35,Model 36,Model 37,Model 38,Model 39,Model 40,Model 41,Model 42,Model 43,Model 44,Model 45,Model 46,Model 47,Model 48,Model 49,Model 50,Model 51,Model 52,Model 53,Model 54,Model 55,Model 56,Model 57,Model 58,Model 59,Model 60,Model 61,Model 62,Model 63,Model 64,Model 65
1981,6.24488427952527,6.48627079562342,8.91128859823833,8.4030418890807,8.65312964799252,8.55063886910069,8.3653330781626,7.932432472786,8.20568356141314,8.01767761969191,8.1934438670893,8.02885252541507,8.0331045134536,8.75420203488744,7.40201239781295,7.6462782609053,6.86620037234201,7.16323912051721,8.65665239625159,8.55393463820704,8.35456551757191,8.78392544871181,8.43691397320807,8.40545123911995,8.56568541032228,8.75420203488744,6.85514114188218,7.00548753190834,7.03358249799119,6.72321851215399,6.70016923002293,6.35602208433033,6.80291100119944,6.96296841848742,6.47436311612709,6.78763118534722,8.44084938806912,8.59997913242839,8.37218936353829,7.96879142634791,8.62964594826004,8.12910300142655,7.51673268288905,7.45969265067145,9.83449293777849,9.5381219463817,9.86367496720789,9.79558080104803,9.50508156084893,9.35197675700425,8.44135660280646,9.60334871810301,9.31801548126852,8.4701242770338,9.80073589514576,9.67755070598129,8.63018255303814,9.52103721245488,8.84759561801557,8.84647022212995,8.89866830761248,8.1091732053284,8.23940109348932,8.74788424782023,8.44643056109535
1982,7.10520088786433,6.99647027839184,7.07794733311934,6.77987245139844,7.24183469976533,7.3921403903184,7.89419294628217,6.70861066106458,7.08910250360046,9.34705038024829,9.20558369312274,8.97461164759253,8.92081078152755,8.17402472138797,9.39544749863148,8.97663778683712,9.68463455863119,9.06061506906673,8.50130348259348,8.52592743514783,8.29823509222399,8.33810999230789,8.52768848981775,8.17665359717045,7.92307541811481,8.17402472138797,7.39158362086344,7.1510989562628,7.4093697210518,8.00441992958027,7.45843619014985,6.80361024559926,7.68659533752124,7.50220534487496,7.49153484645736,7.81272339159493,8.18010172481194,7.92859949736378,8.02094080930065,8.67696397905344,7.84119722073458,7.34971571804102,7.23759228252572,6.85070925213481,9.17590494723467,9.2213472763288,9.00299851163294,8.8573056569052,8.86433618662023,8.92384428744368,7.53035408281013,8.99661169847047,8.61304472612007,7.58430527880942,9.19946950241524,8.97742323358627,7.80506966616807,8.70351509282576,8.42246218484224,7.95791126524194,8.22794019056201,8.07626767466351,8.04947270244719,8.17344437161428,8.29437141224997
1983,7.05932939157402,6.92959550858925,9.24297116538176,9.46314839173545,9.2787069998644,9.13339256715319,8.82091627966814,8.55531572467945,9.19015126718915,8.74449894257197,8.41083482164447,8.34339827123389,8.35026104526305,8.19358219130134,8.78560845552999,8.38235023689411,8.95605642388031,8.88393252894407,8.45251603345696,8.23953137749886,8.14710123272061,8.15639328850042,8.13711715282523,8.09407494566797,8.15227910063075,8.19358219130134,7.30721887642969,7.58118202896153,7.52701333588853,7.54207750647726,7.46951020578999,7.3200509705541,7.53000689566656,8.17019708910831,7.51340271639189,7.60829840140835,8.6102006795338,8.64522697108868,8.69598595116946,8.10357364312464,8.84307918267733,7.96294257768966,7.55480889599496,6.93553344251799,8.01464303386698,7.81411150494572,7.80636968565571,8.23137146764907,8.21760350739563,8.5344378489753,7.30051868961947,8.09471088710347,8.55911248317513,7.23405097044917,8.27919600144629,9.0162630742348,6.70325231901364,7.9767488470194,8.2262589010044,8.89298668385958,8.45718259862091,8.65338053404758,8.60357296867566,8.64900902065828,9.2359918944477
1984,7.35827644702949,7.32120685819201,9.06541986132915,8.49547852266002,9.21440513971307,8.95974759041976,8.01656381433924,8.92222157873346,8.62926957656844,8.2228297490653,7.97975610737355,7.92689754092715,8.27737911949609,7.56699569596306,8.00809035646911,7.20236602867408,7.58841112948709,7.63355762372874,7.79298396997589,7.39375309907759,7.87508171598725,7.43729220061686,7.58439918099201,8.08287101415449,7.2633659883618,7.56699569596306,7.05073079458141,7.27058716025486,7.71369400981641,7.36385338936621,7.4998041891388,7.23341265562896,7.10979202736219,7.73906588066312,7.30485312804538,7.57409946713163,7.44496423939122,7.81847446641849,7.82674170097897,7.98833987267452,7.66592006051644,6.68184210710876,6.99089159114798,6.17555289033266,7.20225392737433,7.49242580872316,7.28150444292191,7.21057259099768,7.3272968724591,10.2292068234841,8.22038805975929,7.1266341716225,10.0315687527942,8.58738145278507,6.99350163491004,10.6434849083493,8.24361415301028,7.04300861009331,8.31826398637514,7.95931816174911,7.93377886441114,8.24716634856921,7.7171589271209,8.16328306572248,8.13094248257444
1985,7.46710787022647,7.2927673456124,7.84884728201425,7.62036499628465,8.09751664979368,7.62318948559686,7.82792341918178,8.10685108959238,7.54481491421151,7.88872595796282,8.37371622068543,8.26557697406838,8.14382593943765,9.02837605114818,8.50866405950687,8.22350075944926,8.79560952804775,7.92152956609482,8.54835701716508,8.65943607034227,8.76208204274797,8.61607797908975,9.16155462943819,8.89518681711814,8.53483420544194,9.02837605114818,7.84081236717886,7.84254703545963,7.59222149000652,7.82919763607989,7.74453025387962,7.54906931975132,7.91247596422063,7.46623254594186,7.49442182947158,7.5534408088138,7.36232443872262,7.70588806274062,7.11563565558299,7.89354649342209,7.816881822415,7.91266214889031,7.18031091768249,7.20022953627207,9.2383763722698,9.41266595515914,9.39691679286202,9.30330137069655,9.50921813505125,9.24472533668035,8.07124345919059,9.37840805489237,9.35663251408316,8.29408528947356,9.35656460590707,9.08154142644626,8.51457876873009,9.02972681482259,9.0251969142492,8.97167665710196,9.12560239156682,9.00110850889754,9.01684455766483,8.89071637962732,9.21632064629597
1986,7.35648765020892,7.07265288058916,7.64225453986923,7.86316418244382,8.16266846386773,7.5203599402572,7.93683120315079,7.58025285079972,7.73297370022166,7.19071416151676,7.65633432518042,7.82273651137096,7.63585590478403,7.25111220737156,8.53407583183907,8.55244901401493,8.50221578827359,8.87175693261075,7.55652957050223,7.62639405859422,7.68191031410358,7.49241090860671,7.43473744061385,7.90026259944729,7.1774070265134,7.25111220737156,7.70016533005235,7.85834189247935,7.8934182183176,8.02682780907527,7.73646885945676,7.92509064467844,7.73480663414831,7.15501285502379,7.78565678793713,8.12631955972341,6.29019049200118,6.38619407135132,5.75652785404487,6.49237214408102,6.12865495196641,7.97617624968294,7.82403642923137,7.47764795527981,8.94041754320805,9.20640974231082,9.46465136130833,9.39959261542888,9.18246031089239,7.95937410327112,8.14516635553395,8.87440576680916,7.63438174584704,8.04019245759649,8.91414130030923,7.75947363614586,8.70388823354543,8.89580006262285,8.5126777811262,8.18121562780864,8.37108984864843,8.7498516984926,7.88465184215391,8.14334003013422,9.14427659176885
1987,7.57863795948393,7.43565669390225,7.68913872470282,7.81787753886668,8.00863408132832,7.57380325124613,8.1104475547641,7.4363846700813,8.26175733186701,7.8885614734766,8.03920181859376,8.17800792621943,7.95592294974386,6.17730359594393,8.12181789464493,8.1152569602103,8.55850374607068,8.54276275662024,6.79707051917865,6.62319623442765,6.65812471069515,6.80444607893504,7.04809008808563,6.69703177740417,6.78357660857687,6.17730359594393,6.92117938532205,7.18701138884592,6.93688799786421,6.72936669387782,6.7736024825551,6.77533630369547,6.5810303377639,6.88597271540803,6.81326195003293,6.77986423100626,7.90952718007568,7.82601578578622,7.3963038647281,7.32396722613628,7.60920475583277,7.09780286702773,6.95482286599634,6.75032131742645,9.2810099057369,9.07741235528918,9.02563202240502,8.74955607603262,8.77146605510115,8.66473444574081,7.82790590478818,8.76809039351893,8.38418198685089,7.72691063197406,9.22934506575177,8.35815895031987,7.17181182780206,9.21968690694911,8.35181667127517,7.92024169413876,8.19641798476739,7.97995159507802,7.84889120675937,8.21701662356692,7.99516582802244
1988,7.75929109343553,7.57555868568752,7.91743586948195,7.72624599920205,7.90398310877916,7.84929135228315,7.84783319977704,8.83756244569912,8.70290368527683,8.04239070545632,7.79669090186396,7.84821199475072,7.62331248988937,7.83147509132773,8.03121018158779,7.53920396938537,8.11354095030266,7.49026815297077,8.41472959612981,8.11924577497729,8.19786617450714,8.4302327513456,8.04355413209496,7.91078728048784,7.89743149734901,7.83147509132773,8.03374403835315,8.31758819708591,7.92988091743866,7.78924529827383,8.00987147346569,7.72343982657599,7.57553893973109,7.19991534883686,7.74140851913327,8.13084583476381,9.2671520122695,9.32232581723381,9.3509775857988,8.45919374730609,9.3895002127356,7.43397105048126,7.60097851245582,6.69499074058766,9.04633559131639,8.90367198067844,8.93374361161288,9.25289709870608,9.18969479960072,8.79714657779551,8.04021669049412,8.80832484596036,8.70064135798924,8.03322259441505,8.98081712681501,9.29599436455278,7.31250253631962,9.06420994900596,7.46560524442883,7.63935944272642,6.86095464840635,6.7725021948007,6.61091577961284,7.5671023203115,7.76521601365019
1989,8.15124687176958,7.82410250972193,8.61672727897665,8.67233432707836,8.52617240144946,8.59008553644759,8.38361889902683,9.48582350040702,9.18033699005591,8.3429880800947,8.36607013028331,8.71347351317414,8.18290037592403,7.42981184015065,9.11326153175448,9.28523670705533,9.61375976339007,9.39919369955138,7.70359221521155,7.76618880509987,7.77023308680717,7.74352484210169,7.80457655725413,7.3177329636491,7.45023454323464,7.42981184015065,7.99197736888193,8.15473860918833,7.91899623184272,8.30679547612837,7.84487627072176,8.03952159511237,8.09957108472435,8.47224724124073,8.54557049233424,8.22058580614191,7.30575091147924,7.06307813419355,7.36716278139253,7.63202172663074,6.96606441409523,8.53290184678958,8.73851181058046,8.19580962933796,8.64792795083604,8.87773753918387,8.23239177677102,8.8756175239466,8.70070218204531,8.20872258041086,8.52594639917183,8.83324744721132,8.20484489004942,8.81178234929186,8.52761492886782,8.18497718739234,8.85494440283834,8.99173645169089,7.32568537166991,7.44053441918842,7.35094690114859,7.11092092540748,6.76356790365038,7.07892857174524,7.59025254545951
1990,8.71945425016578,7.9676016860055,7.99915123499514,7.59323521109276,7.6175725565834,7.36564517467081,7.61872523202033,7.84079339998801,7.34613525826043,9.1342983989005,9.0191291894031,8.88553514927568,8.60555258277319,7.55400696090852,8.32186673237478,7.95028471455563,8.02398475280649,8.11200154163942,7.7944051180997,7.56087633614203,7.69410225749603,7.55144099012904,7.32221952818205,7.85693965395123,7.73363513569421,7.55400696090852,8.19983081362772,8.38932836345692,8.24578668759874,8.36774368766048,8.20739925225135,8.85508725129339,8.42477058474982,7.9234558136747,8.3559373236399,8.21451437414379,7.82055183679026,7.65809203863743,7.75079381753821,7.57875229622018,7.55237120342148,8.41044122536564,8.49271525010291,8.86123920215205,8.88275248845184,8.49182407094048,8.5425478707592,8.15699244834062,8.58705463316112,8.85691660225461,8.54066826119471,8.5290062224563,8.99267764169308,8.56256631061737,8.47928953988687,9.40695677741586,8.6323470025719,7.82099214072528,7.66292906079149,7.67798575529491,7.38460714336602,7.67383987387334,7.76301759078477,7.99922386694819,7.68814509930051
